account_id,created_at,region,segment,acquisition_channel
A000001,2024-05-24,LATAM,SMB,organic
A000002,2025-03-18,APAC,SMB,organic
A000003,2024-07-03,APAC,SMB,paid_search
A000004,2024-01-12,EMEA,SMB,referral
A000005,2025-09-06,LATAM,mid_market,outbound
A000006,2024-07-30,LATAM,SMB,outbound
A000007,2023-10-24,NA,SMB,outbound
A000008,2024-07-29,APAC,SMB,outbound
A000009,2024-08-15,APAC,SMB,paid_search
A000010,2023-12-30,NA,SMB,outbound
A000011,2025-07-03,NA,SMB,outbound
A000012,2024-12-14,LATAM,SMB,outbound
A000013,2024-10-07,APAC,enterprise,organic
A000014,2023-11-11,APAC,SMB,outbound
A000015,2024-04-20,APAC,mid_market,organic
A000016,2023-04-09,NA,SMB,paid_search
A000017,2024-09-14,LATAM,mid_market,referral
A000018,2024-11-06,EMEA,SMB,outbound
A000019,2025-02-15,LATAM,SMB,partner
A000020,2023-05-11,NA,mid_market,referral
A000021,2023-09-14,APAC,SMB,outbound
A000022,2025-05-10,LATAM,mid_market,organic
A000023,2025-06-05,LATAM,enterprise,outbound
A000024,2023-05-25,LATAM,SMB,organic
A000025,2024-09-14,EMEA,SMB,partner
A000026,2023-05-28,EMEA,mid_market,referral
A000027,2023-03-01,APAC,SMB,outbound
A000028,2025-08-11,LATAM,mid_market,outbound
A000029,2024-04-15,APAC,mid_market,organic
A000030,2023-10-03,LATAM,SMB,paid_search
A000031,2024-11-29,NA,SMB,referral
A000032,2025-08-07,APAC,SMB,referral
A000033,2024-12-18,APAC,SMB,paid_search
A000034,2024-04-28,LATAM,SMB,outbound
A000035,2023-08-19,APAC,SMB,outbound
A000036,2024-10-22,LATAM,mid_market,paid_search
A000037,2025-06-06,NA,SMB,paid_search
A000038,2025-06-22,APAC,SMB,referral
A000039,2024-04-15,LATAM,SMB,paid_search
A000040,2024-02-15,NA,SMB,partner
A000041,2024-08-23,APAC,SMB,paid_search
A000042,2023-01-24,NA,SMB,organic
A000043,2024-04-24,APAC,mid_market,outbound
A000044,2024-02-24,EMEA,SMB,partner
A000045,2024-12-01,LATAM,SMB,organic
A000046,2024-09-28,APAC,SMB,partner
A000047,2023-04-03,EMEA,SMB,paid_search
A000048,2025-05-12,APAC,mid_market,paid_search
A000049,2024-11-14,EMEA,SMB,outbound
A000050,2024-06-17,EMEA,SMB,partner
A000051,2024-04-20,APAC,mid_market,partner
A000052,2024-01-04,NA,enterprise,organic
A000053,2024-05-20,APAC,SMB,organic
A000054,2025-06-12,EMEA,SMB,organic
A000055,2025-08-21,EMEA,SMB,referral
A000056,2025-05-04,LATAM,SMB,paid_search
A000057,2025-02-27,APAC,SMB,organic
A000058,2023-09-16,NA,SMB,outbound
A000059,2023-11-03,NA,mid_market,outbound
A000060,2024-01-08,APAC,mid_market,outbound
A000061,2023-12-08,NA,mid_market,outbound
A000062,2023-03-23,APAC,SMB,paid_search
A000063,2023-08-05,EMEA,mid_market,organic
A000064,2024-08-09,LATAM,SMB,organic
A000065,2024-05-12,EMEA,mid_market,paid_search
A000066,2024-04-05,APAC,SMB,paid_search
A000067,2023-11-10,NA,SMB,partner
A000068,2023-01-30,EMEA,SMB,organic
A000069,2024-06-21,NA,SMB,paid_search
A000070,2025-04-11,APAC,SMB,outbound
A000071,2025-03-01,NA,SMB,partner
A000072,2024-07-11,APAC,mid_market,outbound
A000073,2024-08-07,APAC,mid_market,outbound
A000074,2025-01-27,LATAM,SMB,outbound
A000075,2025-05-29,APAC,mid_market,partner
A000076,2023-01-16,LATAM,SMB,outbound
A000077,2024-03-22,EMEA,SMB,paid_search
A000078,2024-09-02,NA,SMB,organic
A000079,2024-07-14,APAC,mid_market,partner
A000080,2024-08-18,NA,SMB,referral
A000081,2024-02-21,EMEA,SMB,partner
A000082,2023-10-14,NA,mid_market,partner
A000083,2025-05-25,NA,SMB,organic
A000084,2023-03-18,APAC,SMB,organic
A000085,2023-12-22,NA,SMB,outbound
A000086,2024-11-30,LATAM,SMB,outbound
A000087,2023-05-16,NA,SMB,referral
A000088,2025-01-14,APAC,SMB,paid_search
A000089,2024-08-16,LATAM,SMB,organic
A000090,2024-07-22,APAC,SMB,outbound
A000091,2025-07-09,EMEA,SMB,organic
A000092,2023-02-18,EMEA,SMB,paid_search
A000093,2024-03-16,EMEA,enterprise,partner
A000094,2023-12-14,NA,SMB,organic
A000095,2025-05-16,EMEA,SMB,organic
A000096,2023-06-15,NA,SMB,paid_search
A000097,2023-02-28,NA,SMB,outbound
A000098,2023-11-27,LATAM,SMB,outbound
A000099,2023-02-21,APAC,enterprise,paid_search
A000100,2024-04-16,EMEA,SMB,referral
A000101,2023-01-22,EMEA,SMB,referral
A000102,2024-08-02,EMEA,SMB,referral
