payment_id,invoice_id,attempted_at,payment_status,amount
SPAY0000001,INV0000001,2024-06-14,succeeded,199
SPAY0000002,INV0000002,2024-07-14,succeeded,199
SPAY0000003,INV0000003,2024-08-12,failed,199
SPAY0000004,INV0000003,2024-08-14,succeeded,199
SPAY0000005,INV0000004,2024-09-14,succeeded,199
SPAY0000006,INV0000005,2024-10-14,succeeded,199
SPAY0000007,INV0000006,2024-11-14,succeeded,199
SPAY0000008,INV0000007,2024-12-14,succeeded,199
SPAY0000009,INV0000008,2025-01-14,succeeded,199
SPAY0000010,INV0000009,2025-02-14,succeeded,199
SPAY0000011,INV0000010,2025-03-14,succeeded,199
SPAY0000012,INV0000011,2025-04-14,succeeded,199
SPAY0000013,INV0000012,2025-05-14,succeeded,199
SPAY0000014,INV0000013,2025-06-14,succeeded,199
SPAY0000015,INV0000014,2025-07-14,succeeded,199
SPAY0000016,INV0000015,2025-08-14,succeeded,199
SPAY0000017,INV0000016,2025-09-14,succeeded,199
SPAY0000018,INV0000017,2025-10-14,succeeded,199
SPAY0000019,INV0000018,2025-11-14,succeeded,199
SPAY0000020,INV0000020,2025-04-10,succeeded,49
SPAY0000021,INV0000021,2025-05-10,succeeded,49
SPAY0000022,INV0000022,2025-06-10,succeeded,49
SPAY0000023,INV0000023,2025-07-10,succeeded,49
SPAY0000024,INV0000024,2025-08-10,succeeded,49
SPAY0000025,INV0000025,2025-09-10,succeeded,49
SPAY0000026,INV0000026,2025-10-10,succeeded,49
SPAY0000027,INV0000027,2025-11-10,succeeded,49
SPAY0000028,INV0000029,2024-07-27,succeeded,199
SPAY0000029,INV0000030,2024-08-27,succeeded,199
SPAY0000030,INV0000031,2024-09-27,succeeded,199
SPAY0000031,INV0000032,2024-10-27,succeeded,199
SPAY0000032,INV0000033,2024-11-27,succeeded,199
SPAY0000033,INV0000034,2024-12-27,succeeded,199
SPAY0000034,INV0000035,2025-01-27,succeeded,199
SPAY0000035,INV0000036,2025-02-27,succeeded,199
SPAY0000036,INV0000037,2025-03-27,succeeded,199
SPAY0000037,INV0000038,2025-04-27,succeeded,199
SPAY0000038,INV0000039,2025-05-27,succeeded,199
SPAY0000039,INV0000040,2025-06-27,succeeded,199
SPAY0000040,INV0000041,2025-07-25,failed,199
SPAY0000041,INV0000041,2025-07-27,succeeded,199
SPAY0000042,INV0000042,2025-08-27,succeeded,199
SPAY0000043,INV0000043,2025-09-27,succeeded,199
SPAY0000044,INV0000044,2025-10-27,succeeded,199
SPAY0000045,INV0000045,2025-11-27,succeeded,199
