subscription_id,account_id,plan_id,started_at,ended_at,status,seats,mrr
S000001,A000001,PLN_GROWTH,2024-06-11,,active,13,199
S000002,A000002,PLN_STARTER,2025-04-07,,active,3,49
S000003,A000003,PLN_GROWTH,2024-07-24,,active,7,199
S000004,A000004,PLN_STARTER,2024-01-14,,active,4,49
S000005,A000005,PLN_SCALE,2025-09-30,,active,79,799
S000006,A000006,PLN_STARTER,2024-08-25,2025-09-01,cancelled,6,59
S000007,A000007,PLN_GROWTH,2023-11-01,2025-04-20,cancelled,10,199
S000008,A000008,PLN_STARTER,2024-08-21,,active,6,59
S000009,A000009,PLN_GROWTH,2024-08-20,2025-01-02,cancelled,8,199
S000010,A000010,PLN_GROWTH,2024-01-08,,active,18,199
S000011,A000011,PLN_STARTER,2025-07-16,,active,3,49
S000012,A000012,PLN_STARTER,2024-12-28,,active,1,49
S000013,A000013,PLN_SCALE,2024-10-10,,active,47,799
S000014,A000014,PLN_STARTER,2023-12-09,,active,4,49
S000015,A000015,PLN_GROWTH,2024-05-10,,active,21,207
S000016,A000016,PLN_STARTER,2023-04-26,2024-01-07,cancelled,4,49
S000017,A000017,PLN_GROWTH,2024-09-29,,active,9,199
S000018,A000018,PLN_GROWTH,2024-11-15,,active,10,199
S000019,A000019,PLN_STARTER,2025-02-26,,active,4,49
S000020,A000020,PLN_SCALE,2023-05-21,,active,81,799
S000021,A000021,PLN_STARTER,2023-10-01,2024-02-24,cancelled,4,49
S000022,A000022,PLN_SCALE,2025-06-01,,active,78,799
S000023,A000023,PLN_ENTERPRISE,2025-06-14,,active,187,2499
S000024,A000024,PLN_GROWTH,2023-05-30,2024-08-13,cancelled,21,207
S000025,A000025,PLN_GROWTH,2024-10-02,,active,8,199
S000026,A000026,PLN_GROWTH,2023-06-15,2023-12-29,cancelled,12,199
S000027,A000027,PLN_STARTER,2023-03-03,,active,5,49
S000028,A000028,PLN_GROWTH,2025-08-18,,active,20,199
S000029,A000029,PLN_SCALE,2024-04-24,,active,112,871
S000030,A000030,PLN_GROWTH,2023-10-26,,active,13,199
S000031,A000031,PLN_STARTER,2024-12-03,,active,1,49
S000032,A000032,PLN_STARTER,2025-08-23,,active,2,49
S000033,A000033,PLN_STARTER,2025-01-09,,active,4,49
S000034,A000034,PLN_STARTER,2024-05-05,,active,2,49
S000035,A000035,PLN_GROWTH,2023-09-10,2025-08-07,cancelled,12,199
S000036,A000036,PLN_GROWTH,2024-11-10,,active,12,199
S000037,A000037,PLN_STARTER,2025-06-14,,active,6,59
S000038,A000038,PLN_GROWTH,2025-07-03,,active,17,199
S000039,A000039,PLN_GROWTH,2024-04-17,2025-08-13,cancelled,16,199
S000040,A000040,PLN_GROWTH,2024-02-16,,active,22,215
S000041,A000041,PLN_STARTER,2024-09-13,,active,4,49
S000042,A000042,PLN_GROWTH,2023-02-09,2023-06-03,cancelled,15,199
S000043,A000043,PLN_GROWTH,2024-05-09,,active,25,239
S000044,A000044,PLN_GROWTH,2024-02-24,2025-03-27,cancelled,13,199
S000045,A000045,PLN_STARTER,2024-12-24,,active,5,49
S000046,A000046,PLN_GROWTH,2024-10-15,,active,10,199
S000047,A000047,PLN_STARTER,2023-05-02,,active,4,49
S000048,A000048,PLN_GROWTH,2025-05-26,,active,16,199
S000049,A000049,PLN_STARTER,2024-11-14,,active,5,49
S000050,A000050,PLN_STARTER,2024-06-27,,active,1,49
S000051,A000051,PLN_GROWTH,2024-05-14,,active,12,199
S000052,A000052,PLN_ENTERPRISE,2024-01-08,,active,388,2499
S000053,A000053,PLN_STARTER,2024-06-14,2025-08-28,cancelled,3,49
S000054,A000054,PLN_STARTER,2025-06-22,,active,2,49
S000055,A000055,PLN_STARTER,2025-08-31,,active,2,49
S000056,A000056,PLN_STARTER,2025-05-20,,active,6,59
S000057,A000057,PLN_STARTER,2025-03-05,,active,5,49
S000058,A000058,PLN_STARTER,2023-10-07,,active,2,49
S000059,A000059,PLN_SCALE,2023-11-17,,active,69,799
S000060,A000060,PLN_SCALE,2024-01-09,,active,43,799
